"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"25716","15395","3030","6","0","2010-07-28 13:11:47.0","2010-07-25 11:39:41.0"
"25798","15395","3019","12","0","2010-07-28 10:28:12.0","2010-07-25 11:41:24.0"
"26316","15395","2003","12","0","2010-07-28 13:43:21.0","2010-07-25 12:53:51.0"
"27386","15395","20005","1","0","2010-07-28 16:27:42.0","2010-07-25 13:31:00.0"
"27834","15395","3010","2","0","2010-07-26 21:14:22.0","2010-07-25 13:40:44.0"
"27846","15395","3076","4","0","2010-07-28 14:58:24.0","2010-07-25 13:40:44.0"
"27955","15395","21001","0","0","2010-07-26 13:46:02.0","2010-07-25 13:42:43.0"
"30096","15395","20025","0","0","2010-07-26 22:29:32.0","2010-07-25 14:33:46.0"
"30461","15395","3012","34","0","2010-07-28 16:24:04.0","2010-07-25 14:39:22.0"
"31503","15395","3000","8","0","2010-07-28 16:26:33.0","2010-07-25 14:57:36.0"
"33365","15395","3040","5","0","2010-07-28 16:27:42.0","2010-07-25 16:34:35.0"
"33647","15395","21002","1","0","2010-07-26 22:20:22.0","2010-07-25 16:39:28.0"
"36427","15395","2033","3","0","2010-07-25 17:54:01.0","2010-07-25 17:53:40.0"
"37057","15395","21004","0","0","2010-07-25 22:38:17.0","2010-07-25 18:04:32.0"
"39732","15395","2004","7","0","2010-07-28 16:27:42.0","2010-07-25 20:44:48.0"
"43365","15395","3079","4","0","2010-07-25 22:22:23.0","2010-07-25 22:15:23.0"
"44163","15395","2024","14","0","2010-07-28 16:27:42.0","2010-07-25 22:26:19.0"
"46246","15395","3041","0","0","2010-07-26 21:59:31.0","2010-07-25 22:49:57.0"
"46462","15395","3013","2","0","2010-07-26 21:47:15.0","2010-07-25 22:52:58.0"
"54358","21509","2000","2","0","2010-07-26 10:42:28.0","2010-07-26 10:42:28.0"
"54359","21509","2001","1","0","2010-07-26 10:42:28.0","2010-07-26 10:42:28.0"
"54364","21509","1","0","0","2010-07-26 10:43:22.0","2010-07-26 10:43:15.0"
"54583","21511","3015","2","0","2010-07-26 11:11:05.0","2010-07-26 11:11:05.0"
"54606","21510","100","4","0","2010-07-26 14:56:19.0","2010-07-26 11:24:11.0"
"54650","17478","2021","20","0","2010-07-26 14:49:31.0","2010-07-26 11:41:04.0"
"54736","17478","3060","1","0","2010-07-27 13:45:00.0","2010-07-26 11:45:36.0"
"54774","17478","3081","4","0","2010-07-26 14:50:00.0","2010-07-26 11:46:19.0"
"54786","17478","3019","12","0","2010-07-26 16:37:59.0","2010-07-26 11:47:03.0"
"54904","17478","3057","14","0","2010-07-26 16:22:22.0","2010-07-26 11:52:39.0"
"54932","15324","20000","1","0","2010-07-26 11:54:14.0","2010-07-26 11:54:14.0"
"54973","17478","30002","0","0","2010-07-26 12:13:46.0","2010-07-26 11:57:15.0"
"54995","17478","30003","0","0","2010-07-26 14:28:31.0","2010-07-26 11:57:27.0"
"55018","17478","30005","0","0","2010-07-26 11:57:49.0","2010-07-26 11:57:49.0"
"55396","17478","3015","4","0","2010-07-26 15:18:26.0","2010-07-26 12:07:11.0"
"55519","17478","3028","16","0","2010-07-27 15:16:26.0","2010-07-26 12:08:56.0"
"55520","17478","3033","8","0","2010-07-26 16:09:50.0","2010-07-26 12:08:56.0"
"55720","17478","30025","0","0","2010-07-26 14:28:31.0","2010-07-26 12:12:54.0"
"55918","17477","20000","1","0","2010-07-26 12:14:19.0","2010-07-26 12:14:19.0"
"55975","17478","30026","1","0","2010-07-26 14:29:06.0","2010-07-26 12:15:00.0"
"55977","17478","3","13","0","2010-07-30 11:33:55.0","2010-07-26 12:15:53.0"
"55984","17478","2036","4","0","2010-07-26 14:42:43.0","2010-07-26 12:15:53.0"
"56007","17472","20000","1","0","2010-07-26 12:20:02.0","2010-07-26 12:20:02.0"
